Fuori,Id,Nome,Squadra,R,RM,Qt.I,Qt.A,Qt.I M,Qt.A M,FVM,FVM M,Trasferimento
0,7312,Arizala,UDI,D,DS;E,4,4,4,4,8,8,
0,7208,Miller L.,UDI,C,M;C,3,4,3,4,12,15,
0,7272,Gueye,UDI,A,PC,4,4,3,3,7,6,
0,7538,Halhal,VEN,D,DC,4,4,4,4,10,10,KV Mechelen -> Venezia (Definitivo)
0,7546,Robinson J.,MON,A,A,4,4,4,4,5,5,Southampton -> Monza (Prestito)
0,4375,Terzic,FRO,D,DS;E,4,4,4,4,8,8,Red Bull Salisburgo -> Frosinone (Definitivo)
0,7563,Favasuli,NAP,D,DD;DS;E,4,4,5,5,11,13,Catanzaro -> Napoli (Prestito con obbligo condizionato)
0,7602,Fatah,LEC,A,W;A,4,4,5,5,17,18,Troyes -> Lecce (Definitivo)
0,5578,Kossounou,ATA,D,DD;DC,3,3,3,3,12,12,
0,6024,Sulemana I.,ATA,C,M;C,3,3,3,3,7,8,Cagliari -> Atalanta (Fine Prestito)
0,5498,Casale,BOL,D,DC,3,3,3,3,5,5,
0,7326,Helland,BOL,D,DD;DC,2,3,2,3,12,12,
0,7125,Idrissi R.,CAG,D,DS;E,3,3,3,3,3,3,
0,7128,Kuhn,COM,A,W;A,3,3,4,4,5,7,
0,4378,Ranieri L.,FIO,D,DS;DC,3,3,3,3,10,12,
0,7175,Joao Mario,FIO,D,DD;E,3,3,3,3,12,12,Juventus -> Fiorentina (Prestito con Diritto Riscatto)
0,4947,Brescianini,FIO,C,C;T,3,3,3,3,12,12,
0,7540,Akpoguma,FRO,D,DC,3,3,3,3,6,6,Hoffenheim -> Frosinone (Definitivo)
0,5757,Cittadini,FRO,D,DC,3,3,3,3,8,8,
0,6241,Gelli F.,FRO,C,C;T,3,3,3,3,8,8,
0,6903,Hasa,FRO,C,C;T,2,3,2,3,5,5,Napoli -> Frosinone (Definitivo)
0,6917,Masini,FRO,C,M;C,2,3,2,3,8,10,Genoa -> Frosinone (Prestito con obbligo condizionato)
0,6503,Stankovic A.,INT,C,M;C,3,3,3,3,7,9,Bruges -> Inter (Definitivo)
1,5813,Miretti,JUV,C,C;T,3,3,3,3,7,7,Juventus -> Besiktas (Prestito con Diritto Riscatto)
0,6822,Ekhator,JUV,A,A,3,3,3,3,10,10,Genoa -> Juventus (Definitivo)
0,7012,Provstgaard,LAZ,D,DC,3,3,3,3,14,14,
0,7131,Floriani Mussolini,LAZ,D,DD;E,3,3,3,3,10,10,Cremonese -> Lazio (Fine Prestito)
0,7248,Gorter,LEC,C,M;C,1,3,1,3,12,15,
0,5457,Maleh,LEC,C,M;C,2,3,2,3,7,9,Cremonese -> Lecce (Fine Prestito)
0,7001,N'Dri,LEC,A,W;A,3,3,4,4,15,17,
1,7211,Athekame,MIL,D,DD;E,3,3,3,3,8,8,Milan -> Olympique Lione (Prestito)
0,5295,Musah,MIL,C,C;W,2,3,2,3,15,15,Atalanta -> Milan (Fine Prestito)
0,7238,Kouadio,MON,D,DD;DC,3,3,3,3,14,10,Fiorentina -> Monza (Prestito)
0,4925,Carboni A.,MON,D,DS;DC,3,3,4,4,9,11,
0,7477,Colombo L.,MON,C,M;C,3,3,3,3,4,5,
0,5131,Gilmour,NAP,C,M;C,3,3,3,3,10,10,
0,7255,Britschgi,PAR,D,DD;DS;E,3,3,4,4,10,12,
0,7138,Ordonez C.,PAR,C,M;C,2,3,2,3,5,6,
0,7209,Sorensen O.,PAR,C,C,3,3,3,3,12,12,
0,7342,Elphege,PAR,A,PC,3,3,3,3,11,10,
1,4772,Angelino,ROM,D,E,3,3,3,3,12,12,Roma -> Deportivo La Coruna (Prestito con Diritto Riscatto)
0,6985,Candè,SAS,D,DS;DC,3,3,3,3,7,8,
0,7183,Aboukhlal,TOR,C,W;A,3,3,2,2,5,4,
0,6925,Palma,UDI,D,DC,2,3,2,3,11,11,Sampdoria -> Udinese (Fine Prestito)
0,5994,Ebosse,UDI,D,DS;DC,2,3,2,3,5,5,Torino -> Udinese (Fine Prestito)
0,6892,Schingtienne,VEN,D,DC,3,3,3,3,10,10,
0,6673,Sverko,VEN,D,DS;DC,3,3,3,3,7,7,
0,6821,Hainaut,VEN,D,DD;E,3,3,3,3,12,12,
0,5872,Helgason,VEN,C,C;T,3,3,3,3,3,3,Lecce -> Venezia (Definitivo)
0,7154,Odenthal,SAS,D,DC,1,3,1,3,8,8,
0,7605,Tchato,FRO,D,DD;E,3,3,3,3,8,8,Montpellier -> Frosinone (Definitivo)
0,6601,Kambwala,COM,D,DD;DC,3,3,4,4,8,9,Villarreal -> Como (Prestito con Diritto Riscatto)
0,7483,Alhassane,BOL,D,DS;E,2,2,2,2,6,6,Real Oviedo -> Bologna (Definitivo)
0,6225,El Azzouzi O.,BOL,C,M;C,2,2,2,2,10,12,
0,6896,Van Der Brempt,COM,D,DD;E,2,2,2,2,5,5,
0,6815,Fadera,CAG,C,W,2,2,2,2,12,10,Sassuolo -> Como (Fine Prestito)
